Station No.,Buoyancy Force [N],Self Weight
1,4.571291183859363,0.12966485595739063
2,12.30016137186809,0.36766204884048503
3,21.78990162847555,0.724938566527685
4,30.389166437889337,1.0397691335456756
5,37.95178384517069,1.3251589903021674
6,44.78500803595898,1.588123675162275
7,51.10540927332555,1.8336284821957218
8,57.01636626557752,2.0640795427968843
9,62.56056688888805,2.2805116649201405
10,67.75547491498374,2.483390975400876
11,72.60961926595817,2.672984296041229
12,77.12880115000299,2.8495004863870452
13,81.31819618368661,3.0131362698783004
14,85.18298525696656,3.164093518499288
15,88.7285583261031,3.3025822219901975
16,91.96057865819887,3.428823671840088
17,94.88503014382962,3.5430517077718595
18,97.50827540614107,3.645514305737601
19,99.83710124662935,3.7364778427428984
20,101.87880934589525,3.816226299098877
21,103.64129988477431,3.8850684814139083
22,105.13321941796117,3.9433422225902577
23,106.36413802060834,3.991421481058063
24,107.34482242238214,4.0297266159447
25,108.08767704318224,4.05874183349547
26,108.60747711685335,4.079045445277198
27,108.92291650973972,4.091366370293215
28,109.06127715464976,4.09677075598547
29,109.06127715464976,4.09677075598547
30,108.92291650973972,4.091366370293215
31,108.60747711685335,4.079045445277198
32,108.08767704318224,4.05874183349547
33,107.34482242238214,4.0297266159447
34,106.36413802060834,3.991421481058063
35,105.13321941796117,3.9433422225902577
36,103.64129988477431,3.88506848141382
37,101.87880934589548,3.8162262990991374
38,99.83710124662913,3.736477842742722
39,97.50827540614107,3.645514305737601
40,94.88503014382941,3.543051707771699
41,91.96057865819867,3.428823671840155
42,88.72855832610348,3.302582221990277
43,85.18298525696692,3.1640935184993637
44,81.31819618368645,3.0131362698783555
45,77.12880115000254,2.849500486386784
46,72.60961926595878,2.6729842960414727
47,67.75547491498331,2.4833909754006496
48,62.56056688888798,2.2805116649202124
49,57.016366265577695,2.0640795427969136
50,51.10540927332573,1.8336284821957476
51,44.785008035958946,1.5881236751623147
52,37.95178384517051,1.3251589903020708
53,30.389166437889507,1.0397691335457468
54,21.78990162847547,0.7249385665276357
55,11.599114076986583,0.36766204884049036
56,4.571291183859365,0.12966485595739302
