Station No.,Buoyancy Force [N],Self Weight,Has Paddler?
1,1.1939806152944485,0.25932971191478127,False
2,7.3033656592833545,1.4817680788009289,False
3,14.197176050501202,2.9216797121381823,False
4,20.01584808751018,4.190524422904164,False
5,25.290393386265155,5.340715409000841,False
6,30.15047909344204,6.400526934122338,False
7,34.68787691401746,7.389971799263753,False
8,38.94705268604454,8.318746309802973,False
9,42.94712893282354,9.191020494442453,False
10,46.69672453165229,10.008673778469808,False
11,50.20077357432981,10.772781004041875,False
12,53.463124263594466,11.484184655893642,False
13,56.48742737650152,12.143677417783389,False
14,59.27740343313708,12.752071702081855,False
15,61.83693938640168,13.310215387587649,False
16,64.1701228376907,13.8189995889644,False
17,66.28127364601967,14.27936627249272,True
18,68.17498480319748,14.692315955775644,False
19,69.85615565245422,15.05892097995606,False
20,71.3300572667682,15.380326226267456,False
21,72.6023927107818,15.657777385259022,False
22,73.67940393862273,15.892635190460224,False
23,74.56799958449157,16.086406106920414,False
24,75.27595208113078,16.24078536637942,False
25,75.8122161231801,16.35772381250451,False
26,76.18745789060553,16.43955228916446,False
27,76.4151724550589,16.489208798304844,False
28,76.51505448417925,16.510989623333113,False
29,76.51505448417925,16.510989623333113,False
30,76.4151724550589,16.489208798304844,False
31,76.18745789060553,16.43955228916446,False
32,75.8122161231801,16.35772381250451,False
33,75.27595208113078,16.24078536637942,False
34,74.56799958449157,16.086406106920414,False
35,73.67940393862273,15.892635190460224,False
36,72.6023927107818,15.657777385258687,False
37,71.33005726676835,15.3803262262685,False
38,69.85615565245405,15.058920979955424,False
39,68.17498480319748,14.692315955775644,False
40,66.28127364601953,14.279366272492062,False
41,64.17012283769054,13.818999588964669,False
42,61.83693938640194,13.310215387588002,True
43,59.27740343313733,12.752071702082125,False
44,56.48742737650142,12.143677417783625,False
45,53.46312426359414,11.484184655892534,False
46,50.20077357433024,10.772781004042868,False
47,46.696724531651995,10.008673778468868,False
48,42.94712893282349,9.191020494442705,False
49,38.947052686044664,8.31874630980309,False
50,34.68787691401758,7.389971799263863,False
51,30.150479093442005,6.4005269341225235,False
52,25.290393386265023,5.3407154090004365,False
53,20.015848087510314,4.190524422904466,False
54,14.19717605050114,2.921679712137964,False
55,6.602318364401848,1.4817680788009542,False
56,1.19398061529445,0.25932971191478604,False
