Station,Length,Shear
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.0
1,49,0.0
1,50,0.0
1,51,-1.8729608861485638
1,52,-1.8729608861485638
1,53,-1.8729608861485638
1,54,-1.8729608861485638
1,55,-1.8729608861485638
1,56,-1.8729608861485638
1,57,-1.8729608861485638
1,58,-1.8729608861485638
1,59,-1.8729608861485638
1,60,-1.8729608861485638
1,61,-1.8729608861485638
1,62,-1.8729608861485638
1,63,-1.8729608861485638
1,64,-1.8729608861485638
1,65,-1.8729608861485638
1,66,-1.8729608861485638
1,67,-1.8729608861485638
1,68,-1.8729608861485638
1,69,-1.8729608861485638
1,70,-1.8729608861485638
1,71,-1.8729608861485638
1,72,-1.8729608861485638
1,73,-1.8729608861485638
1,74,-1.8729608861485638
1,75,-1.8729608861485638
1,76,-1.8729608861485638
1,77,-1.8729608861485638
1,78,-1.8729608861485638
1,79,-1.8729608861485638
1,80,-1.8729608861485638
1,81,-1.8729608861485638
1,82,-1.8729608861485638
1,83,-1.8729608861485638
1,84,-1.8729608861485638
1,85,-1.8729608861485638
1,86,-1.8729608861485638
1,87,-1.8729608861485638
1,88,-1.8729608861485638
1,89,-1.8729608861485638
1,90,-1.8729608861485638
1,91,-1.8729608861485638
1,92,-1.8729608861485638
1,93,-1.8729608861485638
1,94,-1.8729608861485638
1,95,-1.8729608861485638
1,96,-1.8729608861485638
1,97,-1.8729608861485638
1,98,-1.8729608861485638
1,99,-1.8729608861485638
1,100,-1.8729608861485638
2,101,-1.8729608861485638
2,102,-1.8729608861485638
2,103,-1.8729608861485638
2,104,-1.8729608861485638
2,105,-1.8729608861485638
2,106,-1.8729608861485638
2,107,-1.8729608861485638
2,108,-1.8729608861485638
2,109,-1.8729608861485638
2,110,-1.8729608861485638
2,111,-1.8729608861485638
2,112,-1.8729608861485638
2,113,-1.8729608861485638
2,114,-1.8729608861485638
2,115,-1.8729608861485638
2,116,-1.8729608861485638
2,117,-1.8729608861485638
2,118,-1.8729608861485638
2,119,-1.8729608861485638
2,120,-1.8729608861485638
2,121,-1.8729608861485638
2,122,-1.8729608861485638
2,123,-1.8729608861485638
2,124,-1.8729608861485638
2,125,-1.8729608861485638
2,126,-1.8729608861485638
2,127,-1.8729608861485638
2,128,-1.8729608861485638
2,129,-1.8729608861485638
2,130,-1.8729608861485638
2,131,-1.8729608861485638
2,132,-1.8729608861485638
2,133,-1.8729608861485638
2,134,-1.8729608861485638
2,135,-1.8729608861485638
2,136,-1.8729608861485638
2,137,-1.8729608861485638
2,138,-1.8729608861485638
2,139,-1.8729608861485638
2,140,-1.8729608861485638
2,141,-1.8729608861485638
2,142,-1.8729608861485638
2,143,-1.8729608861485638
2,144,-1.8729608861485638
2,145,-1.8729608861485638
2,146,-1.8729608861485638
2,147,-1.8729608861485638
2,148,-1.8729608861485638
