,Value,Station No,Max Width [mm],Max Depth [mm],Station Thickness [mm]
Positive Shear [N],331.29144634223144,38,547.073821,355.9989775,100.89285699999982
Negative Shear [N],-331.29144634223155,19,547.073821,355.9989775,100.89285699999982
Positive Bending Moment [Nm],1.2927562700679358,6,232.914648,328.5997385,100.89285699999994
Negative Bending Moment [Nm],-181.13944836489924,38,547.073821,355.9989775,100.89285699999982
Moment at the end [Nm],-0.15776899491936988,56,,,
