,Value,Station No,Max Width [mm],Max Depth [mm],Station Thickness [mm]
Positive Shear [N],666.855009760035,45,417.20638599999995,355.319046,100.89285700000073
Negative Shear [N],-666.855009760032,11,391.36180950000005,354.6292265,100.89285800000005
Positive Bending Moment [Nm],134.94673884892555,11,391.36180950000005,354.6292265,100.89285800000005
Negative Bending Moment [Nm],-33.71747894359951,41,502.03117499999996,355.9746245,100.89285700000028
Moment at the end [Nm],-3.6487818607284535,56,,,
