,Value,Station No,Max Width [mm],Max Depth [mm],Station Thickness [mm]
Positive Shear [N],662.2548331653629,43,463.268743,355.8530735,100.89285699999982
Negative Shear [N],-580.9428742076191,15,483.54601099999996,355.936966,100.89285700000005
Positive Bending Moment [Nm],126.65202154169705,44,441.1628435,355.675934,100.89285699999982
Negative Bending Moment [Nm],-240.08893183636863,24,590.011438,356.0,100.89285699999982
Moment at the end [Nm],0.0025430463882447924,56,,,
