,Value,Station No,Max Width [mm],Max Depth [mm],Station Thickness [mm]
Positive Shear [N],661.5164411116103,23,584.4029995000001,356.0,100.89285700000028
Negative Shear [N],-677.5485588883897,24,590.011438,356.0,100.89285699999982
Positive Bending Moment [Nm],273.54727518842185,24,590.011438,356.0,100.89285699999982
Negative Bending Moment [Nm],-3.9614353374979396,52,195.207233,309.95020450000004,100.89285700000073
Moment at the end [Nm],-0.004238693900877333,56,,,
