Station No.,Buoyancy Force [N],Self Weight
1,-4.304507239425869,2.2515307830504674
2,-4.304507239425869,9.589101479009537
3,5.245887946042319,14.82892164179769
4,14.502438991599911,17.29714281476134
5,23.646097481143276,17.957003335480138
6,32.80836572605141,17.84610419520854
7,41.17171094525741,17.438749769705748
8,48.678425404030364,17.287339887958918
9,55.45175320556523,17.74654720897625
10,61.48531006074417,18.342705972782724
11,66.98212550249447,18.687710781319335
12,71.97224321680459,18.8655367729374
13,76.50969162624604,19.103911004470874
14,80.63799269550188,19.416861728116086
15,84.39393820836338,19.64294503106224
16,87.80331788775798,19.8075306602901
17,90.88102828064574,19.92727040813741
18,93.63873238102144,20.014882278159206
19,96.08733843252291,20.081867178625068
20,98.2347082210345,20.13363145969031
21,100.08909306317331,20.17365605938823
22,101.65951243165694,20.205460206789947
23,102.9552529350097,20.229209283414622
24,103.98782587066226,20.247024037403463
25,104.77059106825472,20.261332664008645
26,105.31851342606129,20.27087525699118
27,105.65141486186755,20.27695225950006
28,106.88958816053145,20.48126833835146
29,104.70701916258966,20.07925255547169
30,105.65141486186755,20.27695225950006
31,105.31851342606129,20.27087525699118
32,104.77059106825472,20.261332664008645
33,103.98782587066226,20.247024037403463
34,102.9552529350097,20.229209283414622
35,101.65951243165694,20.205460206789947
36,100.08909306317311,20.173656059388158
37,98.23470822103472,20.13363145969031
38,96.08733843252291,20.081867178625068
39,93.63873238102144,20.014882278159206
40,90.88102828064574,19.92727040813741
41,87.80331788775818,19.807530660290134
42,84.39393820836322,19.642945031062187
43,80.63799269550168,19.41686172811607
44,76.50969162624587,19.103911004470824
45,71.97224321680527,18.865536772937574
46,66.9821255024939,18.687710781319193
47,61.485310060744624,18.34270597278283
48,55.4133350303777,17.746547208976214
49,48.678425404030236,17.28733988795885
50,41.17171094525729,17.438749769705716
51,32.808365726051385,17.84610419520854
52,23.646097481143485,17.95700333548029
53,14.032844970457916,17.297142814761198
54,4.800392052796619,14.828921641797809
55,-4.304507239425869,9.58910147900952
56,-4.304507239425869,2.251530783050463
