Length,Moment
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.01055662742280253
53,0.02111325484560506
54,0.03166988226840759
55,0.04222650969121012
56,0.05278313711401265
57,0.06333976453681518
58,0.07389639195961771
59,0.08445301938242024
60,0.09500964680522277
61,0.1055662742280253
62,0.11612290165082782
63,0.12667952907363036
64,0.1372361564964329
65,0.14779278391923542
66,0.15834941134203795
67,0.16890603876484048
68,0.179462666187643
69,0.19001929361044553
70,0.20057592103324806
71,0.2111325484560506
72,0.22168917587885312
73,0.23224580330165565
74,0.24280243072445817
75,0.25335905814726073
76,0.2639156855700633
77,0.27447231299286584
78,0.2850289404156684
79,0.29558556783847095
80,0.3061421952612735
81,0.31669882268407606
82,0.3272554501068786
83,0.3378120775296812
84,0.34836870495248373
85,0.3589253323752863
86,0.36948195979808884
87,0.3800385872208914
88,0.39059521464369396
89,0.4011518420664965
90,0.41170846948929907
91,0.4222650969121016
92,0.4328217243349042
93,0.44337835175770673
94,0.4539349791805093
95,0.46449160660331185
96,0.4750482340261144
97,0.48560486144891696
98,0.4961614888717195
99,0.506718116294522
100,0.5172747437173245
101,0.527831371140127
102,0.5383879985629295
103,0.548944625985732
104,0.5595012534085345
105,0.570057880831337
106,0.5806145082541395
107,0.591171135676942
108,0.6017277630997445
109,0.612284390522547
110,0.6228410179453495
111,0.633397645368152
112,0.6439542727909545
113,0.654510900213757
114,0.6650675276365595
115,0.675624155059362
116,0.6861807824821645
117,0.696737409904967
118,0.7072940373277695
119,0.717850664750572
120,0.7284072921733745
121,0.738963919596177
122,0.7495205470189795
123,0.760077174441782
124,0.7706338018645845
125,0.781190429287387
126,0.7917470567101895
127,0.802303684132992
128,0.8128603115557945
129,0.823416938978597
130,0.8339735664013995
131,0.844530193824202
132,0.8550868212470045
133,0.865643448669807
134,0.8762000760926095
135,0.886756703515412
136,0.8973133309382145
137,0.907869958361017
138,0.9184265857838195
139,0.928983213206622
140,0.9395398406294245
141,0.950096468052227
142,0.9606530954750295
143,0.971209722897832
144,0.9817663503206345
145,0.992322977743437
146,1.0028796051662396
147,1.0134362325890423
148,1.0239928600118449
149,1.0345494874346475
150,1.04510611485745
151,1.0556627422802527
152,1.0662193697030553
153,1.076775997125858
154,1.0873326245486605
155,1.124102990478785
156,1.1608733564089093
157,1.1976437223390337
158,1.234414088269158
159,1.2711844541992825
160,1.307954820129407
161,1.3447251860595313
162,1.3814955519896557
163,1.41826591791978
164,1.4550362838499045
165,1.4918066497800289
166,1.5285770157101533
167,1.5653473816402776
168,1.602117747570402
169,1.6388881135005264
170,1.6756584794306508
171,1.7124288453607752
172,1.7491992112908996
173,1.785969577221024
174,1.8227399431511484
175,1.8595103090812728
176,1.8962806750113972
177,1.9330510409415216
178,1.969821406871646
179,2.0065917728017704
180,2.0433621387318945
181,2.0801325046620187
182,2.116902870592143
183,2.153673236522267
184,2.1904436024523912
185,2.2272139683825154
186,2.2639843343126396
187,2.3007547002427637
188,2.337525066172888
189,2.374295432103012
190,2.4110657980331363
191,2.4478361639632604
192,2.4846065298933846
193,2.5213768958235088
194,2.558147261753633
195,2.594917627683757
196,2.6316879936138813
197,2.6684583595440055
198,2.7052287254741296
199,2.741999091404254
200,2.778769457334378
201,2.815539823264502
202,2.8523101891946263
203,2.8890805551247505
204,2.9258509210548747
205,2.962621286984999
206,2.999391652915123
207,3.036162018845247
208,3.0729323847753713
209,3.1097027507054955
210,3.1464731166356197
211,3.183243482565744
212,3.220013848495868
213,3.256784214425992
214,3.2935545803561164
215,3.3303249462862405
216,3.3670953122163647
217,3.403865678146489
218,3.440636044076613
219,3.4774064100067372
220,3.5141767759368614
221,3.5509471418669856
222,3.5877175077971097
223,3.624487873727234
224,3.661258239657358
225,3.6980286055874823
226,3.7347989715176064
227,3.7715693374477306
228,3.8083397033778548
229,3.845110069307979
230,3.881880435238103
231,3.9186508011682273
232,3.9554211670983515
233,3.9921915330284756
234,4.0289618989586
235,4.065732264888724
236,4.102502630818848
237,4.139272996748972
238,4.1760433626790965
239,4.212813728609221
240,4.249584094539345
241,4.286354460469469
242,4.323124826399593
243,4.359895192329717
244,4.3966655582598415
245,4.433435924189966
246,4.47020629012009
247,4.506976656050214
248,4.543747021980338
249,4.580517387910462
250,4.6172877538405865
251,4.654058119770711
252,4.690828485700835
253,4.727598851630959
254,4.764369217561083
255,4.801139583491207
256,4.837909949421332
257,4.918914780463606
258,4.99991961150588
259,5.080924442548154
260,5.161929273590428
261,5.2429341046327025
262,5.323938935674977
263,5.404943766717251
264,5.485948597759525
265,5.566953428801799
266,5.647958259844073
267,5.728963090886348
268,5.809967921928622
269,5.890972752970896
270,5.97197758401317
271,6.052982415055444
272,6.1339872460977185
273,6.214992077139993
274,6.295996908182267
275,6.377001739224541
276,6.458006570266815
277,6.539011401309089
278,6.620016232351364
279,6.701021063393638
280,6.782025894435912
281,6.863030725478186
282,6.94403555652046
283,7.0250403875627345
284,7.106045218605009
285,7.187050049647283
286,7.268054880689557
287,7.349059711731831
288,7.430064542774105
289,7.51106937381638
290,7.592074204858654
291,7.673079035900928
292,7.754083866943202
293,7.835088697985476
294,7.9160935290277505
295,7.997098360070025
296,8.078103191112298
297,8.159108022154571
298,8.240112853196845
299,8.321117684239118
300,8.402122515281391
301,8.483127346323664
302,8.564132177365938
303,8.645137008408211
304,8.726141839450484
305,8.807146670492758
306,8.888151501535031
307,8.969156332577304
308,9.050161163619578
309,9.13116599466185
310,9.212170825704124
311,9.293175656746397
312,9.37418048778867
313,9.455185318830944
314,9.536190149873217
315,9.61719498091549
316,9.698199811957764
317,9.779204643000037
318,9.86020947404231
319,9.941214305084584
320,10.022219136126857
321,10.10322396716913
322,10.184228798211404
323,10.265233629253677
324,10.34623846029595
325,10.427243291338224
326,10.508248122380497
327,10.58925295342277
328,10.670257784465043
329,10.751262615507317
330,10.83226744654959
331,10.913272277591863
332,10.994277108634137
333,11.07528193967641
334,11.156286770718683
335,11.237291601760957
336,11.31829643280323
337,11.399301263845503
338,11.480306094887776
339,11.56131092593005
340,11.642315756972323
341,11.723320588014596
342,11.80432541905687
343,11.885330250099143
344,11.966335081141416
345,12.04733991218369
346,12.128344743225963
347,12.209349574268236
348,12.29035440531051
349,12.371359236352783
