,Value,Station No,Max Width [mm],Max Depth [mm],Station Thickness [mm]
Positive Shear [N],750.0188257743362,34,654.873815,342.5,102.67857200000026
Negative Shear [N],-535.8106251722895,42,585.722941,342.5,102.67857100000037
Positive Bending Moment [Nm],555.1790471588399,42,585.722941,342.5,102.67857100000037
Negative Bending Moment [Nm],-0.1920917966358436,2,99.89294899999999,246.3406025,102.678572
Moment at the end [Nm],287.411855530031,56,,,
