Station Number,Volume (m^3),Mass (kg),Weight (N)
1,7.085227731216635e-05,0.08502273277459961,0.8340730085188223
2,0.0002972331164245191,0.3566797397094229,3.4990282465494387
3,0.0005140531716002417,0.6168638059202901,6.0514339360780465
4,0.0007295440584742166,0.8754528701690599,8.588192656358478
5,0.0009476934875327787,1.1372321850393343,11.15624773523587
6,0.0011665497621974842,1.3998597146369811,13.732623800588785
7,0.0013843193578931801,1.661183229471816,16.29620748111852
8,0.0015993663028546106,1.9192395634255328,18.827740117204478
9,0.0018102064202361694,2.172247704283403,21.309749979020186
10,0.002015501739353677,2.4186020872244125,23.72648647567149
11,0.00221405590541585,2.65686708649902,26.06386611855539
12,0.0024048074006706105,2.885768880804733,28.30939272069443
13,0.002586825651604304,3.1041907819251646,30.452111570685865
14,0.002759303665348992,3.31116439841879,32.482522748488336
15,0.0029215540967716743,3.505864916126009,34.39253482719615
16,0.003073002590734312,3.6876031088811745,36.175386498124325
17,0.003213181883095296,3.855818259714355,37.82557712779783
18,0.0033417275491826144,4.010073059019137,39.33881670897774
19,0.0034583700910201277,4.150044109224154,40.71193271148895
20,0.0035629316092179995,4.275517931061599,41.94283090371429
21,0.003655317543799976,4.386381052559971,43.03039812561332
22,0.0037355133656054324,4.482616038726519,43.97446333990715
23,0.0038035774075351916,4.56429288904223,44.77571324150428
24,0.0038596355007051455,4.631562600846174,45.43562911430097
25,0.00390387783961064,4.684653407532768,45.95644992789646
26,0.0039365523725507,4.72386284706084,46.34109452966684
27,0.003957966265322271,4.749559518386725,46.59317887537377
28,0.0039684891643554385,4.762186997226526,46.717054442792225
29,0.0039684891643554385,4.762186997226526,46.717054442792225
30,0.003957966265322271,4.749559518386725,46.59317887537377
31,0.0039365523725507,4.72386284706084,46.34109452966684
32,0.00390387783961064,4.684653407532768,45.95644992789646
33,0.0038596355007051455,4.631562600846174,45.43562911430097
34,0.0038035774075351916,4.56429288904223,44.77571324150428
35,0.0037355133656054324,4.482616038726519,43.97446333990715
36,0.003655317543799976,4.386381052559971,43.03039812561332
37,0.0035629316092179995,4.275517931061599,41.94283090371429
38,0.0034583700910201594,4.150044109224191,40.71193271148931
39,0.003341727549182469,4.010073059018963,39.33881670897603
40,0.003213181883095475,3.85581825971457,37.82557712779993
41,0.0030730025907343404,3.6876031088812082,36.17538649812465
42,0.0029215540967715828,3.5058649161258995,34.39253482719508
43,0.0027593036653489078,3.3111643984186894,32.48252274848734
44,0.002586825651604278,3.1041907819251335,30.452111570685563
45,0.002404807400670795,2.885768880804954,28.3093927206966
46,0.002214055905415708,2.6568670864988495,26.063866118553715
47,0.002015501739353806,2.418602087224567,23.726486475673003
48,0.00181020642023616,2.172247704283392,21.309749979020076
49,0.0015993663028545687,1.9192395634254824,18.827740117203984
50,0.0013843193578931428,1.6611832294717714,16.296207481118078
51,0.001166549762197474,1.3998597146369687,13.732623800588664
52,0.000947693487532835,1.137232185039402,11.156247735236535
53,0.000729544058474177,0.8754528701690124,8.588192656358013
54,0.0005140531716002742,0.6168638059203291,6.051433936078428
55,0.00029723311642451607,0.3566797397094193,3.4990282465494036
56,7.085227731216466e-05,0.0850227327745976,0.8340730085188025
