,Value,Station No,Max Width [mm],Max Depth [mm]
Positive Shear [N],611.0160201333179,43,468.163265,332.4190865
Negative Shear [N],-609.1707712335397,13,443.673469,328.8301195
Positive Bending Moment [Nm],267.88559962111333,44,443.67346899999995,328.8301195
Negative Bending Moment [Nm],-257.6645097653644,28,639.5918369999999,349.9949725
Moment at the end [Nm],3.8926525047936846,56,,
