Station,Length,Moment
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.0
1,49,0.0
1,50,0.0
1,51,0.0
1,52,0.020112536042178747
1,53,0.040225072084357494
1,54,0.06033760812653624
1,55,0.08045014416871499
1,56,0.10056268021089373
1,57,0.12067521625307248
1,58,0.14078775229525123
1,59,0.16090028833742998
1,60,0.18101282437960872
1,61,0.20112536042178747
1,62,0.22123789646396622
1,63,0.24135043250614496
1,64,0.26146296854832374
1,65,0.2815755045905025
1,66,0.3016880406326813
1,67,0.32180057667486006
1,68,0.34191311271703884
1,69,0.3620256487592176
1,70,0.3821381848013964
1,71,0.40225072084357516
1,72,0.42236325688575393
1,73,0.4424757929279327
1,74,0.4625883289701115
1,75,0.48270086501229026
1,76,0.502813401054469
1,77,0.5229259370966478
1,78,0.5430384731388266
1,79,0.5631510091810054
1,80,0.5832635452231841
1,81,0.6033760812653629
1,82,0.6234886173075417
1,83,0.6436011533497205
1,84,0.6637136893918992
1,85,0.683826225434078
1,86,0.7039387614762568
1,87,0.7240512975184356
1,88,0.7441638335606143
1,89,0.7642763696027931
1,90,0.7843889056449719
1,91,0.8045014416871507
1,92,0.8246139777293294
1,93,0.8447265137715082
1,94,0.864839049813687
1,95,0.8849515858558658
1,96,0.9050641218980445
1,97,0.9251766579402233
1,98,0.9452891939824021
1,99,0.9654017300245809
1,100,0.9855142660667596
1,101,1.0056268021089383
1,102,1.025739338151117
2,103,1.0458518741932958
2,104,1.0659644102354746
2,105,1.0860769462776534
2,106,1.1061894823198322
2,107,1.126302018362011
2,108,1.1464145544041897
2,109,1.1665270904463685
2,110,1.1866396264885473
2,111,1.206752162530726
2,112,1.2268646985729048
2,113,1.2469772346150836
2,114,1.2670897706572624
2,115,1.2872023066994411
2,116,1.30731484274162
2,117,1.3274273787837987
2,118,1.3475399148259775
2,119,1.3676524508681562
2,120,1.387764986910335
2,121,1.4078775229525138
2,122,1.4279900589946926
2,123,1.4481025950368713
2,124,1.46821513107905
2,125,1.4883276671212289
2,126,1.5084402031634077
2,127,1.5285527392055864
2,128,1.5486652752477652
2,129,1.568777811289944
2,130,1.5888903473321228
2,131,1.6090028833743015
2,132,1.6291154194164803
2,133,1.649227955458659
2,134,1.6693404915008379
2,135,1.6894530275430166
2,136,1.7095655635851954
2,137,1.7296780996273742
2,138,1.749790635669553
2,139,1.7699031717117317
2,140,1.7900157077539105
2,141,1.8101282437960893
2,142,1.830240779838268
2,143,1.8503533158804468
2,144,1.8704658519226256
2,145,1.8905783879648044
2,146,1.9106909240069831
2,147,1.930803460049162
2,148,1.9509159960913407
2,149,1.9710285321335195
2,150,1.9911410681756982
2,151,2.011253604217877
2,152,2.031366140260056
2,153,2.0514786763022346
2,154,2.0715912123444133
2,155,2.1174033171386557
2,156,2.163215421932898
2,157,2.2090275267271404
