,Value,Station No,Max Width [mm],Max Depth [mm],Station Thickness [mm]
Positive Shear [N],739.0691081314053,10,469.21875,342.498115,102.67857100000015
Negative Shear [N],-739.0691081314094,47,469.21875,342.498115,102.67857099999947
Positive Bending Moment [Nm],442.19598285779426,26,659.473852,342.5,102.67857099999992
Negative Bending Moment [Nm],-2.402665200004581,54,34.109421,94.3063755,102.67857100000037
Moment at the end [Nm],-2.402665200004581,56,,,
