Station No.,Buoyancy Force [N],Self Weight
1,11.489826799240205,0.7465595011501401
2,31.46085700899359,4.197694801337438
3,54.44673615833811,8.169816836950773
4,74.12948612719391,11.571134814586507
5,91.39351039841613,14.554480022947464
6,106.77007377341054,17.211659625253166
7,120.63846496122083,19.60821486887583
8,133.20324382677336,21.77949732380411
9,144.57752078063012,23.745053752523948
10,154.8369765834211,25.517959081556757
11,164.0440985663057,27.109014684459883
12,172.25721549172576,28.528299374163026
13,179.5334930019399,29.785692642923692
14,185.92978314828116,30.891015346874276
15,191.50288044102203,31.85408588581082
16,196.30955984330583,32.68471553223624
17,200.40658823234088,33.39270960069585
18,203.8507449540643,33.98788401882818
19,206.6987940230836,34.48004716150449
20,209.007515108818,34.87901203119228
21,210.8336721895595,35.194583445721946
22,212.23404288392288,35.436577324823716
23,213.26539888305527,35.61480427084584
24,213.98450613686438,35.73906956345421
25,214.44814447444048,35.8191894613856
26,214.71307744327837,35.864971846594266
27,214.83608484334832,35.88622997912514
28,214.8739306046698,35.89276855050521
29,214.8739306046698,35.89276855050521
30,214.83608484334832,35.88622997912514
31,214.71307744327837,35.864971846594266
32,214.44814447444048,35.8191894613856
33,213.98450613686438,35.73906956345421
34,213.26539888305527,35.61480427084584
35,212.23404288392288,35.436577324823716
36,210.8336721895595,35.19458344572235
37,209.00751510881847,34.879012031192325
38,206.69879402308314,34.480047161504054
39,203.8507449540643,33.98788401882818
40,200.40658823234048,33.39270960069551
41,196.30955984330535,32.68471553223545
42,191.50288044102277,31.85408588581183
43,185.92978314828193,30.8910153468753
44,179.5334930019395,29.78569264292366
45,172.25721549172465,28.528299374160813
46,164.0440985663071,27.109014684462135
47,154.8369765834201,25.517959081555095
48,144.57752078062995,23.745053752523912
49,133.2032438267738,21.779497323804733
50,120.63846496122126,19.608214868876367
51,106.77007377341046,17.211659625253166
52,91.39351039841563,14.55448002294653
53,74.12948612719438,11.57113481458735
54,54.44673615833787,8.169816836950263
55,31.46085700899354,4.19769480133742
56,11.48982679924022,0.7465595011501606
