Station No.,Buoyancy Force [N],Self Weight
1,7.713931057944828,0.730329946777311
2,16.91994950147272,4.106440566525755
3,26.49153994062701,7.992212123104015
4,34.444220445879516,11.319588405573759
5,41.41963130536952,14.23807828331817
6,47.632426629791006,16.837493111660706
7,53.23585525672515,19.181949328248095
8,58.31256817248431,21.306029990677935
9,62.90826714124914,23.228856931816907
10,67.05353019856794,24.963220840653346
11,70.77360467932795,26.51968827827597
12,74.09205834111492,27.90811895298557
13,77.03198852172424,29.138177585468828
14,79.61636582322144,30.219471534985704
15,81.86813757374246,31.161605757858414
16,83.81024327970965,31.974178238057196
17,85.46561951924649,32.666781131115506
18,86.85720749457681,33.249016974940616
19,88.00794222707438,33.73048091886309
20,88.94076513588415,34.12077263920984
21,89.67861141555964,34.429483805597556
22,90.24442167243713,34.66621694819711
23,90.6611340572591,34.84056939539267
24,90.95168441423597,34.9621332685965
25,91.13901434103231,35.040511429616345
26,91.24605867484861,35.085298545581345
27,91.2957589033257,35.106094544796335
28,91.31105023750149,35.11249097332031
29,91.31105023750149,35.11249097332031
30,91.2957589033257,35.106094544796335
31,91.24605867484861,35.085298545581345
32,91.13901434103231,35.040511429616345
33,90.95168441423597,34.9621332685965
34,90.6611340572591,34.84056939539267
35,90.24442167243713,34.66621694819711
36,89.67861141555964,34.42948380559795
37,88.94076513588432,34.12077263920989
38,88.00794222707421,33.73048091886266
39,86.85720749457681,33.249016974940616
40,85.46561951924633,32.66678113111517
41,83.8102432797095,31.974178238056417
42,81.86813757374277,31.161605757859398
43,79.61636582322177,30.21947153498671
44,77.03198852172407,29.1381775854688
45,74.0920583411145,27.9081189529834
46,70.77360467932851,26.51968827827817
47,67.05353019856754,24.963220840651722
48,62.90826714124909,23.22885693181687
49,58.31256817248447,21.306029990678542
50,53.2358552567253,19.181949328248617
51,47.63242662979096,16.837493111660706
52,41.419631305369336,14.238078283317257
53,34.444220445879694,11.31958840557458
54,26.491539940626915,7.992212123103519
55,15.57084370564227,4.106440566525737
56,7.713931057944829,0.730329946777331
