,Value,Station No,Max Width [mm],Max Depth [mm],Station Thickness [mm]
Positive Shear [N],769.2652338080474,14,568.014304,342.4999985,102.67857099999992
Negative Shear [N],-844.5996490754951,42,585.722941,342.5,102.67857100000037
Positive Bending Moment [Nm],551.4554348385294,35,651.596665,342.5,102.67857099999992
Negative Bending Moment [Nm],-10.905926562435916,54,34.109421,94.3063755,102.67857100000037
Moment at the end [Nm],-10.905926562435825,56,,,
