Time (s),Displacement y(t) (m),Velocity y'(t) (m/s),Acceleration y''(t) (m/s^2)
0.0,0.0,0.0,0.011218298344749588
0.010002500625156289,6.527770763749187e-07,0.0001263239674069902,0.009335690273559806
0.020005001250312578,2.107017621344321e-06,0.00016578980154709376,-0.0011843388022926512
0.030007501875468866,3.8400217723481825e-06,0.00017657265640465096,0.004234123681425745
0.040010002500625155,5.983591789645578e-06,0.00023362796268971807,0.006142070176880409
0.05001250312578144,8.817242694738608e-06,0.0003432196342275812,0.013294311147852417
0.06001500375093773,1.2733970542776919e-05,0.00044727334109870975,0.006867317781734617
0.07001750437609403,1.764281250605291e-05,0.0005342858191025537,0.008458175265579898
0.08002000500125031,2.343478549782439e-05,0.0006231558631717345,0.011769115905586379
0.0900225056264066,3.0139211080060142e-05,0.0007179445429933646,0.010158120248168806
0.10002500625156288,3.7813414486809355e-05,0.0008189346870215604,0.01039205657360228
0.11002750687671918,4.6495412129736745e-05,0.0009007294700869302,0.008537544771964547
0.12003000750187547,5.5694441755874054e-05,0.000915773382040374,0.0010499783710997508
0.13003250812703177,6.469091632598512e-05,0.0008700503213353723,-0.008455741692114566
0.14003500875218805,7.291435940889694e-05,0.0007738446745537017,-0.016881635562633574
0.15003750937734434,7.994773291904312e-05,0.000639934288752776,-0.0254048557522332
0.16004001000250062,8.552743711646376e-05,0.00048359047146564555,-0.014522772550172692
0.1700425106276569,8.954331060680555e-05,0.0003225779907009992,-0.01806488501622228
0.1800450112528132,9.203863034132174e-05,0.00017715507494316205,-0.012128104944378945
0.19004751187796948,9.320287946064639e-05,5.5308079396743974e-05,-0.012970777091548768
0.20005001250312576,9.314306613008018e-05,-6.127118816651842e-05,-0.009320654439684833
0.21005251312828208,9.208860849232252e-05,-0.00013795478805392748,-0.0037956341442015517
0.22005501375343836,9.07180154903298e-05,-0.00011926698486134708,0.009115003598462545
0.23005751437859465,9.020631341635035e-05,1.967927641083854e-05,0.015476144358828518
0.24006001500375093,9.099028538030714e-05,0.00014753166035109564,0.007364288193081136
0.25006251562890724,9.27740943820086e-05,0.00020193987541491286,0.0038864507410127677
0.26006501625406353,9.51006960132432e-05,0.00025622000125204267,0.009110382588252884
0.2700675168792198,9.818569847728858e-05,0.00036535742898104217,0.010680400939081257
0.2800700175043761,0.00010230115870827185,0.00045695993457804966,0.005996170351443577
0.2900725181295324,0.00010720278870039915,0.000508601533583561,0.0051091559323217794
0.30007501875468867,0.00011244816166405927,0.0005186978064091665,-0.004417929870792529
0.31007751937984496,0.00011720424962786093,0.0004167178159942039,-0.011924519318403026
0.32008002000500124,0.00012036618394165042,0.00020663007051934933,-0.026259995888422587
0.3300825206301575,0.00012129400888220042,-3.0295543147336007e-06,-0.014634387244710315
0.3400850212553138,0.0001207703880744079,-8.780644565607637e-05,-0.0034452924387569674
0.3500875218804701,0.00011964457384593764,-0.0001387513523555272,-0.007701693376167571
0.3600900225056264,0.00011780924665259463,-0.0002367480446264585,-0.012632490393609074
0.37009252313078267,0.00011481273634939995,-0.000363911996209763,-0.010980712805366336
0.38009502375593895,0.00011043949962441347,-0.0005065639149202354,-0.013313951358161772
0.39009752438109524,0.00010486617187552493,-0.0005970862099985918,-0.0030434330213983236
0.4001000250062515,9.869700925626357e-05,-0.0006302798561650353,-0.0011499449664183915
0.41010252563140787,9.246500560051532e-05,-0.0006152543746920496,0.002546561174045682
0.42010502625656415,8.651949295293939e-05,-0.0005680919954462527,0.004739082743460712
0.43010752688172044,8.104391461098352e-05,-0.0005226290573479953,0.0031369077447437306
0.4401100275068767,7.61695964584144e-05,-0.0004464538018313426,0.009585495367762101
0.450112528132033,7.215061516083959e-05,-0.0003481400282494372,0.011129101565278198
0.4601150287571893,6.908567557069675e-05,-0.00026597288563672813,0.00785251453019973
0.4701175293823456,6.689320442521738e-05,-0.00017367822424352818,0.011128169841243075
0.48012003000750186,6.564307957453267e-05,-7.768616206474098e-05,0.007086396577297434
0.49012253063265815,6.514009296549823e-05,-3.0394816953196953e-05,-0.0007103048046660697
0.5001250312578145,6.479426552843183e-05,-5.890151843352201e-05,-0.0055804705361222635
0.5101275318829708,6.378968859034639e-05,-0.0001511646937263367,-0.014058662326344175
0.5201300325081271,6.174137551550732e-05,-0.0002622294374840013,-0.005212682890322282
0.5301325331332833,5.841653673592344e-05,-0.00039997856024682045,-0.014395459838701476
0.5401350337584396,5.374642030835457e-05,-0.000526948169863288,-0.009234393753801147
0.5501375343835959,4.83248682954156e-05,-0.0005398250080294919,0.003613585114601114
0.5601400350087522,4.310112285707402e-05,-0.0004909460690069952,0.005700460778748136
0.5701425356339085,3.854857652848677e-05,-0.00042285411143461123,0.008812733952515908
0.5801450362590648,3.487345428557879e-05,-0.0003078661519998799,0.012504387346774795
0.5901475368842211,3.2438416053129235e-05,-0.00017536404969294137,0.015515245505225489
0.6001500375093773,3.121234729121849e-05,-7.062444011296558e-05,0.009410320094196211
0.6101525381345336,3.1076772430725765e-05,4.596262896424972e-05,0.01403990416226989
0.6201550387596899,3.2249760615035476e-05,0.00018507951118797755,0.01159925811169997
0.6301575393848462,3.445649856041898e-05,0.00024613150707258674,0.003213183788708219
0.6401600400100025,3.715293595740068e-05,0.0002916023965511614,0.005911725648268225
0.6501625406351588,4.0208592359519256e-05,0.0003100707935644095,-0.00459855968218152
0.660165041260315,4.2926736257070395e-05,0.00021528630136066635,-0.013030379126974408
0.6701675418854713,4.438855255853931e-05,7.08382361140587e-05,-0.014282195456584507
